State,State_Name,19_AND_UNDER,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,TOTAL
AL,Alabama,108101,168232,165330,152778,142642,153246,152732,167362,162836,143788,125217,92183,65310,45943,41323,1887023
AK,Alaska,9893,22632,28185,27590,22809,21394,20951,23795,24005,19693,13396,8012,4187,2417,1786,250745
AZ,Arizona,86800,190765,214721,230400,226520,236581,226224,232476,215084,190143,145608,106854,72653,46453,32383,2453665
AR,Arkansas,41944,88496,88882,87503,83362,85781,85243,95108,90627,81802,72868,55075,38275,24773,19135,1038874
CA,California,451549,1191309,1220965,1180988,1069849,1115486,1170370,1230526,1134255,940319,735602,475477,305385,196036,144098,12562214
CO,Colorado,76805,155179,187790,191762,176195,178830,173833,188009,184646,160489,125734,76450,49754,33238,28054,1986768
CT,Connecticut,45178,101485,107861,99230,94541,102306,118495,130561,124861,101998,81967,57173,37172,26638,24743,1254209
DE,Delaware,17443,30329,31404,30547,26666,28455,30205,32644,30943,26872,24461,18252,12457,8592,6972,356242
DC,Dist. of Col. ,346,6593,24942,35162,28738,21393,18100,16572,14297,12146,10222,6959,4415,2888,2660,205433
FL,Florida,227065,515189,546699,527079,505778,563181,600028,661050,612003,545107,509190,393777,274742,181371,139342,6801601
GA,Georgia,139061,277488,272222,270355,265572,301546,303912,311105,280969,237824,194388,132211,83574,50449,33441,3154117
HI,Hawaii,12113,35094,38032,42315,39571,40987,41269,44991,44570,41943,35463,23172,12934,8622,6832,467908
ID,Idaho,32175,49882,48732,49887,47715,45615,44596,49170,49178,45955,39110,27907,18374,10870,7497,566663
IL,Illinois,207287,351541,360823,363130,345448,349274,358748,389316,378917,326341,259039,180927,120745,65467,60719,4117722
IN,Indiana,95518,198867,190943,186162,177883,188742,190931,210154,204263,174559,137427,95510,64049,39808,29055,2183871
IA,Iowa,68054,94746,93632,92698,85159,83499,87876,100588,101786,92527,72189,50452,35941,24387,19737,1103271
KS,Kansas,74313,88311,89523,86670,78434,75836,76722,89025,89726,79766,62999,42102,29248,20441,16702,999818
KY,Kentucky ,39737,121287,123852,127266,125350,133803,134587,146762,140924,123435,101658,69906,46356,28068,18944,1481935
LA,Louisiana,67860,128681,142070,149815,135902,134057,136340,148755,145912,125379,100435,69721,48093,31965,30765,1595750
ME,Maine ,18105,36543,39749,37388,35487,39343,43708,51034,51332,46561,40132,26471,17595,11704,8541,503693
MD,Maryland,62209,157682,192000,198246,180460,184650,194222,206518,187794,153058,122179,82388,53734,35390,28009,2038539
MA,Massachusetts,83650,197128,216481,207285,189107,205695,223913,236610,217544,182011,146171,97943,65604,47454,41014,2357610
MI,Michigan,170393,306667,289461,268087,255391,276637,296171,328767,328632,288832,233988,164993,109394,71830,58857,3448100
MN,Minnesota,83162,123875,129691,137763,131354,131357,143751,168556,166721,145930,114360,80540,56066,39304,34400,1686830
MS,Mississippi,53325,81096,75114,73683,72619,76535,77916,87333,86818,77459,66209,45849,31958,19332,13749,938995
MO,Missouri ,102172,180205,191875,187273,168885,170948,174082,200771,192020,164012,134585,98375,65819,42428,29979,2103429
MT,Montana,18712,29637,34011,33180,30375,28836,28908,35150,37491,36457,30358,21201,13279,8168,4773,390536
NE,Nebraska,36984,61003,66246,64950,56645,54167,54018,61972,61348,54009,42569,29262,20680,15491,14348,693692
NV,Nevada ,29297,70308,77520,83123,81261,86035,85660,86605,80173,71695,64821,46233,29237,16466,9764,918198
NH,New Hampshire,24127,44789,44940,40950,37570,43892,49937,56480,54199,44899,36294,24735,15762,10772,8137,537483
NJ,New Jersey,120061,261882,251749,241345,239765,258007,281786,307002,286736,235611,191650,132770,90062,63640,57948,3020014
NM,New Mexico,14095,58881,67758,71934,63594,61873,60508,68412,66289,61060,50164,34614,20792,12740,7464,720178
NY,New York ,161904,435566,498976,492727,474586,507645,554301,593123,557785,469964,376400,260688,181045,128131,113496,5806337
NC,North Carolina,110352,294666,310000,299791,287687,317972,316078,325717,301707,252263,220330,155065,100544,64600,47472,3404244
ND,North Dakota,14518,26350,29348,26394,21868,20197,20612,24439,24695,21419,15438,10540,7614,5509,4601,273542
OH,Ohio,175264,315065,305628,302854,292269,319083,335351,374090,377446,325282,259154,178888,125423,83415,66065,3835277
OK,Oklahoma,73393,110006,103899,100318,86456,85325,83741,96626,96233,86014,74281,55151,39655,25305,18621,1135024
OR,Oregon,48558,100522,114805,124601,119828,115989,113350,118964,123352,121867,104891,72134,46300,28863,22785,1376809
PA,Pennsylvania,149633,353659,368173,354506,329423,360230,393006,436352,437456,377665,302336,213198,150843,107801,90764,4425045
RI,Rhode Island,11524,30162,32030,30483,27336,29069,32972,36660,36067,31106,25814,17169,10780,7612,7030,365814
SC,South Carolina ,105057,145474,150459,144879,134642,145290,144940,155089,147682,136000,125591,89555,55557,34051,23721,1737987
SD,South Dakota,17657,25210,26568,26732,23902,21929,22632,27369,28263,26509,22124,15450,10520,6911,5550,307326
TN,Tennessee ,116428,182117,179341,179664,174514,196653,197937,208891,198776,176776,151892,108043,71025,43773,30312,2216142
TX,Texas,338567,718269,712891,707081,666537,698447,690235,735577,690250,574984,459208,312917,202739,128934,77701,7714337
UT,Utah,40114,71260,76882,77627,75341,59549,53627,54072,53149,46089,37851,27108,18685,13366,11865,716585
VT,Vermont,9766,20425,23578,23318,20573,21036,22497,25866,26554,23662,19397,13454,8648,5985,7036,271795
VA,Virginia,107987,222917,241958,245126,232130,253233,263733,286610,264784,222044,181736,123764,79648,49227,34883,2809780
WA,Washington,103273,223988,264237,284991,260997,254826,242804,255186,244773,214939,174910,116569,72509,44238,32508,2790748
WV,West Virginia,27990,34152.5897,38262,39021,41739,47022,47678,51894,57043,56931,50985,35437,25068,16013,12811,582046.5897
WI,Wisconsin,95403,164716,173691,175892,158187,165863,183820,209474,197036,169019,130223,95290,69544,52542,55538,2096238
WY,Wyoming,11158,17778,19741,19979,17319,16542,15788,18757,21048,19284,15245,10248,6901,4315,3378,217481
TTL,Total,4336080,8918104.59,9323670,9232528,8665981,9113887,9420844,10197935,9730998,8383497,6868259,4778162,3196694,2093736,1647308,105907683.6
